"Target.Color","Target.stim","Condition","Outer.Color","C1","C2","C3","C4","C5","C6","Congruency","random"
"Purple","90,0,165","Mid.4","Blue","41,0,214","38,0,217","34,0,221","31,0,224","28,0,227","21,0,234","incongruent",493
"Purple","70,0,185","Mid.5","Blue","21,0,234","18,0,237","14,0,241","11,0,244","8,0,247","1,0,254","incongruent",494
"Purple","70,0,185","Mid.5","Blue","21,0,234","18,0,237","14,0,241","11,0,244","8,0,247","1,0,254","incongruent",495
"Blue","50,0,205","Mid.1","Purple","100,0,155","97,0,158","93,0,162","90,0,165","87,0,168","80,0,175","incongruent",496
"Blue","25,0,230","Mid.5","Blue","21,0,234","18,0,237","14,0,241","11,0,244","8,0,247","1,0,254","congruent",497
"Purple","65,0,190","Low.6","Blue","29,0,226","27,0,228","24,0,231","22,0,233","20,0,235","15,0,240","incongruent",498
"Blue","25,0,230","Low.1","Purple","100,0,155","98,0,157","95,0,160","93,0,162","91,0,164","86,0,169","incongruent",499
"Blue","40,0,215","Low.2","Purple","86,0,169","84,0,171","81,0,174","79,0,176","77,0,178","72,0,183","incongruent",500
"Blue","40,0,215","High.1","Mixed","100,0,155","92,0,163","83,0,172","75,0,180","67,0,188","51,0,204","mixed",501
"Blue","25,0,230","Low.3","Purple","72,0,183","70,0,185","67,0,188","65,0,190","63,0,192","58,0,197","incongruent",502
"Blue","25,0,230","Low.4","Mixed","58,0,197","55,0,200","53,0,202","51,0,204","48,0,207","43,0,212","mixed",503
"Blue","20,0,235","Low.3","Purple","72,0,183","70,0,185","67,0,188","65,0,190","63,0,192","58,0,197","incongruent",504
"Blue","25,0,230","Mid.4","Blue","41,0,214","38,0,217","34,0,221","31,0,224","28,0,227","21,0,234","congruent",505
"Blue","35,0,220","Low.7","Blue","15,0,240","13,0,242","10,0,245","8,0,247","6,0,249","1,0,254","congruent",506
"Blue","40,0,215","Low.6","Blue","29,0,226","27,0,228","24,0,231","22,0,233","20,0,235","15,0,240","congruent",507
"Purple","55,0,200","Low.4","Mixed","58,0,197","55,0,200","53,0,202","51,0,204","48,0,207","43,0,212","mixed",508
"Blue","5,0,250","High.1","Mixed","100,0,155","92,0,163","83,0,172","75,0,180","67,0,188","51,0,204","mixed",509
"Blue","30,0,225","Low.7","Blue","15,0,240","13,0,242","10,0,245","8,0,247","6,0,249","1,0,254","congruent",510
"Blue","40,0,215","Low.4","Mixed","58,0,197","55,0,200","53,0,202","51,0,204","48,0,207","43,0,212","mixed",511
"Blue","45,0,210","Low.6","Blue","29,0,226","27,0,228","24,0,231","22,0,233","20,0,235","15,0,240","congruent",512
"Blue","20,0,235","Low.1","Purple","100,0,155","98,0,157","95,0,160","93,0,162","91,0,164","86,0,169","incongruent",513
"Blue","45,0,210","High.2","Mixed","75,0,180","67,0,188","59,0,196","51,0,204","42,0,213","26,0,229","mixed",514
"Blue","20,0,235","Low.7","Blue","15,0,240","13,0,242","10,0,245","8,0,247","6,0,249","1,0,254","congruent",515
"Purple","65,0,190","Mid.4","Blue","41,0,214","38,0,217","34,0,221","31,0,224","28,0,227","21,0,234","incongruent",516
"Purple","85,0,170","Mid.3","Mixed","60,0,195","57,0,198","54,0,201","51,0,204","47,0,208","41,0,214","mixed",517
"Blue","5,0,250","Mid.1","Purple","100,0,155","97,0,158","93,0,162","90,0,165","87,0,168","80,0,175","incongruent",518
"Purple","85,0,170","Low.7","Blue","15,0,240","13,0,242","10,0,245","8,0,247","6,0,249","1,0,254","incongruent",519
"Purple","55,0,200","Low.1","Purple","100,0,155","98,0,157","95,0,160","93,0,162","91,0,164","86,0,169","congruent",520
"Purple","85,0,170","Low.7","Blue","15,0,240","13,0,242","10,0,245","8,0,247","6,0,249","1,0,254","incongruent",521
"Purple","55,0,200","Low.4","Mixed","58,0,197","55,0,200","53,0,202","51,0,204","48,0,207","43,0,212","mixed",522
"Blue","35,0,220","Low.6","Blue","29,0,226","27,0,228","24,0,231","22,0,233","20,0,235","15,0,240","congruent",523
"Blue","15,0,240","Low.3","Purple","72,0,183","70,0,185","67,0,188","65,0,190","63,0,192","58,0,197","incongruent",524
"Blue","20,0,235","Mid.1","Purple","100,0,155","97,0,158","93,0,162","90,0,165","87,0,168","80,0,175","incongruent",525
"Blue","35,0,220","Mid.3","Mixed","60,0,195","57,0,198","54,0,201","51,0,204","47,0,208","41,0,214","mixed",526
"Purple","85,0,170","High.3","Mixed","51,0,204","42,0,213","34,0,221","26,0,229","17,0,238","1,0,254","mixed",527
